# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
g5.8xlarge,32,128,x86_64,25 Gigabit,8,30
g5.xlarge,4,16,x86_64,Up to 10 Gigabit,4,15
h1.16xlarge,64,256,x86_64,25 Gigabit,8,50
h1.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
h1.4xlarge,16,64,x86_64,Up to 10 Gigabit,8,30
h1.8xlarge,32,128,x86_64,10 Gigabit,8,30
hpc7a.12xlarge,24,768,x86_64,300 Gigabit,4,50
hpc7a.24xlarge,48,768,x86_64,300 Gigabit,4,50
hpc7a.48xlarge,96,768,x86_64,300 Gigabit,4,50
hpc7a.96xlarge,192,768,x86_64,300 Gigabit,4,50
hpc7g.16xlarge,64,128,arm64,200 Gigabit,4,50
hpc7g.4xlarge,16,128,arm64,200 Gigabit,4,50
hpc7g.8xlarge,32,128,arm64,200 Gigabit,4,50
i2.2xlarge,8,61,x86_64,High,4,15
i2.4xlarge,16,122,x86_64,High,8,30
i2.8xlarge,32,244,x86_64,10 Gigabit,8,30
i2.xlarge,4,30.5,x86_64,Moderate,4,15
i3.16xlarge,64,488,x86_64,25 Gigabit,15,50
i3.2xlarge,8,61,x86_64,Up to 10 Gigabit,4,15
i3.4xlarge,16,122,x86_64,Up to 10 Gigabit,8,30
i3.8xlarge,32,244,x86_64,10 Gigabit,8,30
i3.large,2,15.25,x86_64,Up to 10 Gigabit,3,10
i3.xlarge,4,30.5,x86_64,Up to 10 Gigabit,4,15
i3en.12xlarge,48,384,x86_64,50 Gigabit,8,30
i3en.24xlarge,96,768,x86_64,100 Gigabit,15,50
i3en.2xlarge,8,64,x86_64,Up to 25 Gigabit,4,15
i3en.3xlarge,12,96,x86_64,Up to 25 Gigabit,4,15
i3en.6xlarge,24,192,x86_64,25 Gigabit,8,30
i3en.large,2,16,x86_64,Up to 25 Gigabit,3,10
i3en.metal,96,768,x86_64,100 Gigabit,15,50
i3en.xlarge,4,32,x86_64,Up to 25 Gigabit,4,15
i4g.16xlarge,64,512,arm64,37.5 Gigabit,15,50
i4g.2xlarge,8,64,arm64,Up to 12 Gigabit,4,15
i4g.4xlarge,16,128,arm64,Up to 25 Gigabit,8,30
i4g.8xlarge,32,256,arm64,18.75 Gigabit,8,30
i4g.large,2,16,arm64,Up to 10 Gigabit,3,10
i4g.xlarge,4,32,arm64,Up to 10 Gigabit,4,15
i4i.12xlarge,48,384,x86_64,28.12 Gigabit,8,30
i4i.16xlarge,64,512,x86_64,37.5 Gigabit,15,50
i4i.24xlarge,96,768,x86_64,56.25 Gigabit,15,30
i4i.2xlarge,8,64,x86_64,Up to 12 Gigabit,4,15
i4i.32xlarge,128,"1,024",x86_64,75 Gigabit,15,50
i4i.4xlarge,16,128,x86_64,Up to 25 Gigabit,8,30
i4i.8xlarge,32,256,x86_64,18.75 Gigabit,8,30
i4i.large,2,16,x86_64,Up to 10 Gigabit,3,10
i4i.metal,128,"1,024",x86_64,75 Gigabit,15,50
i4i.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
i7i.12xlarge,48,384,x86_64,Up to 28 Gigabit,8,30
